Q1351730	Eric Wainaina
Q2791334	Onejiru
Q2939004	Carl Tundo
Q3811019	Judy Kibinge
Q4648111	A. Louis London
Q4664957	Abdi Yusuf Hassan
Q4696697	Aidan Hartley
Q4725250	Ali Velshi
Q4893735	Bernard Wanyama
Q4967983	Brijal Patel
Q5186370	Cristina Odone
Q5258796	Dennis Nzioka
Q5279690	Dipak Patel
Q5483294	Francisco D'Souza
Q5657498	Harilal Shah
Q99295	Ellen Alpsten
Q359800	Adnan Z. Amin
Q658146	Nasar Sakar Saeed
Q860562	Bildad Kaggia
Q1208887	Diana Sigei Chepkemoi
Q1338439	Raymond Kipkoech Chemwelo
Q1345957	Silas Kipruto
Q1503009	Geoffrey Kipkoech Rono
Q1691954	Johan Fjord Jensen
Q2287087	Simeon Nyachae
Q2582584	Wilson Kibet
Q522392	Lineth Chepkurui
Q775964	Onesmus Nyerre
Q4739847	Cecilia Wairimu
Q4993291	Thomas Saisi
Q27979004	Fatuma Ali Saman
Q1338366	Emmanuel Okombo
Q4662371	Aaron Ringera
Q8063982	Zachary Onyonka
Q16014147	Henry Nyandoro
Q24254229	Tylor Ongwae
Q51646946	Edward Zakayo
Q54860801	Michael Saruni
Q59660449	Stephen Thega
Q6184384	Jerry Santos
Q6378954	Kaushik Patel
Q6481681	Lameck Onyango
Q6696258	Lucas Oluoch
Q6729929	Magdalene Odundo
Q6766345	Marjorie Wallace
Q6792661	Maureen Connell
Q6892449	Mohammad Sheikh
Q7186651	Phoebe Boswell
Q7282961	Ragheb Aga
Q7296749	Ravindu Shah
Q7307857	Reg Sharma
Q7396209	Sabir Butt
Q7416379	Sandip Gupta
Q7608539	Stephen A. Miles
Q7794881	Thomas Wanyama
Q7823507	Tony Suji
Q7914610	Vanessa Beeman
Q11777453	Mercy Moim
Q15631305	Mercy Joseph
Q15851074	Toby Howarth
Q15915580	Kapila Hingorani
Q16189345	Evans Kidero
Q16221824	Humphrey Kayange
Q16225062	Nelson Odhiambo
Q16745416	Humphrey Mieno
Q28688412	Godfrey Okumu
Q41221013	Adelle Onyango
Q42286272	Phyllis Wakiaga
Q42532105	Rebecca Miano
Q42914258	Iddah Asin
Q43148892	Sylvia Mulinge
Q46292769	Jamila Abbas
Q53498731	Amina Abubakar
Q56283918	Eunice Chumba
Q56513440	Esse Akida
Q58641597	Asenath Bole Odaga
Q558453	Ann Karindi Mwangi
Q6248686	John Michuki
Q6490731	Larry Madowo
Q7695410	Tekla Chemabwai
Q18710997	Patrick Kinyua
Q26251752	Teddy Akumu
Q28059122	Joshua Ndere
Q29634103	Dennis Odhiambo
Q58885787	Beatrice Wanjiku
Q64736721	Bernard Ochieng
Q5208023	Daddy Owen
Q8075132	Zulfiqar Ali
Q17070056	Rama Salim
Q17386573	Brendan Power
Q17514263	Avril
Q19668599	Beti Kamya-Turwomwe
Q21642332	Brenda Wairimu
Q22279400	Nice Githinji
Q22957951	Janet Mbugua
Q23541243	Sanaipei Tande
Q55807448	Halima Ali Adan
Q649235	Brian Ombiji
Q20902291	Viola Cheptoo Lagat
Q2411858	Pamela Mboya
Q2993345	Conjestina Achieng
Q3113007	Grace Onyango
Q4102084	Eliud Wabukala
Q4682172	Aden Mohammed
Q5481632	Francis Kimanzi
Q59656054	John Olulu
Q68701238	Amar Singh Mangat
Q17486604	Mark Ochieng
Q18637885	Andy Siege
Q18676703	Gaylyne Ayugi
Q18921818	Runish Gudhka
Q19887678	Erick Ochieng
Q20029310	Peter Kariuki Ngumi
Q20605168	Amarjit Chandan
Q20897552	J. S. La Fontaine
Q21170704	Miriam Syowia Kyambi
Q21285400	Mumbi Maina
Q21285414	Serah Ndanu
Q21285655	Wanja Mworia
Q21285689	Naomi Ng'ang'a
Q22069426	John Ronald Gower
Q22279420	Lizz Njagah
Q22958193	Wendy Kimani
Q27943430	Vivian Corazon Aquino
Q1874575	Simon Arusei
Q1942594	Mohammed Hussein Ali
Q5415973	Evans Wadongo
Q6967268	Nasra Abdullah
Q8023115	Wilson Kirwa
Q9252873	Elizabeth Wanyama
Q11719728	Jane Wairimu
Q11792697	Noel Murambi
Q26927739	Aron Rono
Q42428783	Attiya Waris
Q60546231	Alexia Mupende
Q60736648	Clarke Oduor
Q68023341	Bill Plenderleith
Q68101459	Surjeet Singh Panesar
Q68101473	Hilary Fernandes
Q68101548	Avtar Singh Sohal
Q69656843	Davinder Singh Deegan
Q69997970	Rui Saldanha
Q70110404	Tarlochan Singh Chana
Q70110435	Brajinder Singh Daved
Q70110528	Surjeet Singh Rihal
Q526751	Martina Pinto
Q3064466	Fahid Mohammed Ally Msalam
Q5279686	Dipak Chudasama
Q21642180	Ali Abondo
Q23691656	Godfrey Kiprotich
Q55237974	Troy Onyango
Q68101389	Egbert Fernandes
Q68101492	Edgar Fernandes
Q70766981	Parminder Singh Saini
Q5517658	Gakaara Wanjau
Q6238091	John Harun Mwau
Q6297432	Joyce Cherono Laboso
Q7931963	Vincent Mumo
Q29373184	Lucy Gichuhi
Q53780751	Asha Ismail
Q3064379	Fadhili William
Q6250748	John Nzenze
Q26845489	Oscar Ayodi
Q2075961	Peter J. Kairo
Q15708600	Jepkorir Rose Chepyator-Thomson
Q16150174	Aliir Aliir
Q16211606	Veronica Nyaruai
Q16221929	Harrison Muranda
Q16223590	Emmanuel Bett
Q16843079	Edwin Lavatsa
Q16845692	Mulinge Ndeto
Q17155407	Sammy Kirongo
Q17198383	James Mworia
Q17486038	Barnabas Kipyego
Q18393211	Tabitha Karanja
Q18395638	Vivienne Yeda Apopo
Q18612309	Alfred Imonje
Q18638156	Noah Wafula
Q19668224	Olive Mugenda
Q19871206	Samir Bhamra
Q20631047	Brendan Fernandes
Q20641259	Vincent Omumbo
Q21935587	Nicholas Kiptanui Bett
Q23332702	Stephen Sambu
Q23778294	Claire Penn
Q23925248	Zach Miller
Q25390758	Jackline Chepngeno
Q25849288	Catherine Mturi-Wairi
Q59656237	Ismael Dunga
Q59753354	Emily Waita Macharia
Q60191559	Martha Mbugua
Q60444887	Winnie Apiyo
Q60710046	Fred Kinuthia
Q60767228	Hassan Abdallah
Q62007975	Walter Raria
Q62122328	Kennedy Musyoka Kalonzo
Q63089315	Eva Njenga
