Q18207768	Combined Motor Holdings Limited
Q20981815	Northam Platinum
Q24234023	Riovic
Q24234188	The Creative Counsel
Q24234204	Sybrin
Q5490886	Frankie's
Q7801391	Tiger Brands
Q5501391	Freightdynamics
Q28223117	Gilroy’s Brewery
Q6869597	Mintek
Q7933953	Virgin Life Care
Q24234009	Bidvest Insurance
Q6818007	Mercantile Bank
Q30262062	Talbot & Talbot (South Africa)
Q6015372	Incredible Connection
Q30262060	T-Systems (South Africa)
Q30262131	WR Nyabeze & Associates (South Africa)
Q30261814	Geoterra Image (South Africa)
Q30262053	Technoscene (South Africa)
Q30261876	ISS International (South Africa)
Q30262112	WAM Technology (South Africa)
Q82346264	LimClouds
Q100146248	Dutch Bank for South Africa
Q95995486	Darkmello Recordings
Q21850033	Guardrisk
Q30261745	Deltamune (South Africa)
Q30261792	Epicentre (South Africa)
Q30289518	Sabinet
Q36875325	Winetech (South Africa)
Q73533905	Bid Corporation
Q30261644	Agama Energy (South Africa)
Q30261902	Microchem (South Africa)
Q30261994	Research Research (South Africa)
Q30263991	Africagrowth Institute (South Africa)
Q30296061	BroadReach Healthcare (South Africa)
Q50035565	National Bioproducts Institute (South Africa)
Q58423048	Folk Cafe
Q58499154	Sotano
Q29123486	Element Six (South Africa)
Q29123035	Sandvik (South Africa)
Q30261674	Assore (South Africa)
Q30261810	EcoMetrix Africa
Q30261835	Health Science Academy (South Africa)
Q30261852	Infusion (South Africa)
Q30261936	MultiMedia InnoVations (South Africa)
Q30261945	Nano Energy (South Africa)
Q30262081	TogaLabs (South Africa)
Q30262140	Omnia (South Africa)
Q30263875	L&S Consulting (South Africa)
Q30271555	African Fertilizer and Agribusiness Partnership
Q30338537	Anglo American (South Africa)
Q41568427	Impact Instruments (South Africa)
Q50035542	Nestlé (South Africa)
Q50514919	Golder Associates (South Africa)
Q61895765	Athletico
Q30269162	Mylan (South Africa)
Q85292163	Web4Africa
Q3488214	Sotelma
Q2883022	Mali Development Bank
Q3355061	Orange Mali
Q2882627	Bank of Africa
Q2883405	Malian Solidarity Bank
Q2883399	banque internationale pour le Mali
Q4857076	Banque de l'Habitat du Mali
Q30594734	National Bank of Agricultural Development
Q1090717	Sonatrach
Q624426	Arab Satellite Communications Organization
Q2004597	Entreprise nationale de Radiodiffusion sonore
Q2381695	SNVI
Q1275038	Société nationale des transports ferroviaires
Q3335043	Naftal
Q795474	Cevital
Q2836029	Poste Algérie
Q3337704	Ooredoo Algérie
Q7399953	Saidal
Q17640214	Télédiffusion d'Algérie
Q2836031	Algérie Ferries
Q3490327	Sonelgaz
Q16124570	Condor Electronics
Q2297151	Société nationale des chemins de fer algériens
Q2826659	Anesrif
Q2931752	CNEP-Bank
Q2866716	Asmidal
Q5379115	ENMTP
Q3117869	GICA
Q2883031	BADR
Q2883372	Gulf Bank Algeria
Q2883410	National Bank of Algeria
Q2989928	Compagnie des chemins de fer algériens de l'État
Q3006243	Qarḍ al-Shaʻbī al-Jazāʾirī
Q6486937	Zero4
Q86682568	SIM
Q90937441	Amor Benamor
Q28040035	Agence algérienne pour le rayonnement culturel
Q16642976	INFRAFER
Q3488521	Société nationale de recherche et d'exploitation de pétrole en Algérie
