Q85	Cairo
Q7421008	Saponé
Q6737428	Majayahan
Q7021974	Nganda
Q7266461	Qanatir el Qahiriya
Q7684735	Taposiris Magna
Q7041563	Rukiga
Q7413381	San Antonio de Ureca
Q6726220	Madalla
Q7294653	Ras El Bar
Q7958728	Wacca
Q7283492	Rahmaniya
Q6839370	kafr El-battikh city
Q2471469	Kabalo
Q2570767	Batu
Q2511670	Tima
Q2458075	Mwaro
Q2465841	Yabassi
Q2533580	Kumbo
Q2550461	Niefang
Q2562082	El Matareya
Q2570307	Adré
Q2549060	Cogo
Q2528080	Tabligbo
Q2548730	Taounate
Q2563156	Dembi Dollo
Q2490824	Djambala
Q2501786	Tiflet
Q2446919	Bangem
Q2560293	Mhlume
Q2549481	Aconibe
Q2472697	Ouro Sogui
Q2498357	Massakory
Q2566827	Dogbo-Tota
Q1809024	Biltine
Q1828275	Loum
Q1816589	Qus
Q1827283	Maghagha
Q1818610	Lastoursville
Q1807961	Mueda
